LicenceNo,LicenceType,PremisesName,Licensee,Address1,Address2,Suburb,Postcode
31915266,General Licence,VICTORIA HOTEL,BRIAN L MORRIS,12 TAVERNOR STREET,,BEULAH,3395
31952959,General Licence,ICHI NI IZAKAYA,NUMBER TWELVE PTY LTD,12 THE ESPLANADE,,ST KILDA,3182
32250520,Restaurant & Café,BURGER EDGE - PHILIP ISLAND,VTR ENTERPRISES PTY LTD,12 THOMPSON AVENUE,,COWES,3922
31917006,Late night (general) Licence,THE HOTEL GLENGALA,GLENGALA HOTEL (BMG) PTY LTD,12 VERNON CRESCENT,(CORNER GLENGALA ROAD),ARDEER,3022
36075231,Limited Licence,TWELVE ON VICTOR BED & BREAKFAST,ELSPETH LESLEY BLACK,12 VICTOR STREET,,BEAUMARIS,3193
32290821,On-Premises Licence,CAFE 3460 DAYLESFORD,KIM PATRICK LYDEN,12 VINCENT STREET,,DAYLESFORD,3460
36085804,Limited Licence,KYABRAM ANGLERS CLUB,KYABRAM ANGLERS CLUB INC,12 WOOD ROAD,,KYABRAM,3620
36083690,Limited Licence,OCEAN HIDEAWAY,SHARON KING,12 WOODLANDS DRIVE,,OCEAN GROVE,3226
36112546,Limited Licence,ECOSTRALIA,ECOSTRALIA PTY LTD,12 WOODVILLE STREET,,BALWYN NORTH,3104
32287137,Restaurant & Café,GROOVERS LOUNGE,ADRIAN WHITFORD,12 YOUNG STREET,,FRANKSTON,3199
32287739,On-Premises Licence,,POSHILAH PTY LTD,12/134 CAMBRIDGE STREET,,COLLINGWOOD,3066
36116320,Limited Licence,WINE ASAP,WINE ASAP PTY LTD,12/2 WINGROVE STREET,,ALPHINGTON,3078
32289668,On-Premises Licence,ONYX CAFE,FILICUDI FRUIT & VEG PTY LTD,12/322-328 RESERVE ROAD,,CHELTENHAM,3192
36112897,Limited Licence,AUSTRALIAN CELLAR DOOR,AUSTRALIAN CELLAR DOOR PTY LTD,12/345 PLUMMER STREET,,PORT MELBOURNE,3207
31275349,BYO Permit,WRAPPED,GR8 FOOD PTY LTD,12/427 HAMPTON STREET,,HAMPTON,3188
36051839,Limited Licence,RANAHANS FINE FOODS,RANAHANS PTY LTD,12/981 MOUNTAIN HIGHWAY,,BORONIA,3155
32420387,Vigneron's Licence,ELDRIDGE ESTATE,DAVID RONALD LLOYD,120 ARTHURS SEAT ROAD,,RED HILL,3937
32023004,Packaged Liquor,BOLTON STREET FOODMART,ZHIMING CHEN,120 BOLTON STREET,,ELTHAM,3095
32051138,Packaged Liquor,,SCENO PTY LTD,120 CANTERBURY ROAD,,HEATHMONT,3135
32239095,Restaurant & Café,NEW WIND RESTAURANT,TUAN-ANH TRAN,120 CHAPEL STREET,,WINDSOR,3181
31902360,General Licence,HALF MOON HOTEL,COLONIAL LEISURE GROUP PTY LTD,120 CHURCH STREET,,BRIGHTON,3186
32271364,Late night (on-premises) Licence,EUROPEAN BIER CAFE,EURO EXHIBITION PTY LTD,120 EXHIBITION STREET,,MELBOURNE,3000
32271429,Restaurant & Café,TRARALGON LION CITY,SOON SENG LIM,120 FRANKLIN STREET,,TRARALGON,3844
31915177,General Licence,VALLEY INN HOTEL,THREE FROTHY BEERS PTY LTD,120 FYANS STREET,,GEELONG,3220
32292823,On-Premises Licence,HARBOUR CAFE,FRIAND PTY LTD,120 HARBOUR ESPLANADE,,DOCKLANDS,3000
32276398,Restaurant & Café,THE HARDWARE SOCIETE,THE HARDWARE SOCIETE PTY LTD,120 HARDWARE STREET,,MELBOURNE,3000
31950410,Late night (general) Licence,THE EXCHANGE HOTEL,WALMIK PTY LTD,120 KING STREET,,MELBOURNE,3000
32235279,Restaurant & Café,LYGON CHARCOAL GRILL & STEAK HOUSE,VASO PITRA,120 LYGON STREET,,CARLTON,3053
36098996,Limited Licence,PENINSULA BAIE,PETER ANDREW KUC,120 MCDERMOTT ROAD,,CURLEWIS,3222
31913484,General Licence,SHAMROCK HOTEL,NAKALI PTY LTD,120 MOLLINSON STREET,,KYNETON,3444
31906194,General Licence,GOLDEN FLEECE HOTEL,GOLDEN FLEECE HOLDINGS PTY LTD,120 MONTAGUE STREET,,SOUTH MELBOURNE,3205
32101137,Full Club Licence (prev. Club Licence),ROYAL YACHT CLUB OF VICTORIA,ROYAL YACHT CLUB OF VICTORIA,120 NELSON PLACE,,WILLIAMSTOWN,3016
36100010,Limited Licence,LONG BLOCK ESTATE,RICHARD GREGORY BLAKE,120 NORTH REDESDALE ROAD,,REDESDALE,3444
36092097,Limited Licence,GREATER SHEPPARTON CITY COUNCIL,GREATER SHEPPARTON CITY COUNCIL,120 NUMURKAH ROAD,,SHEPPARTON,3630
36078726,Limited Licence,GEELONG BASEBALL CLUB,GEELONG BASEBALL CLUB INCORPORATED,120 PIONEER ROAD,,GROVEDALE,3216
32005519,Packaged Liquor,SANDOWN CELLARS,NAIM MELHEM,120 POLICE ROAD,,SPRINGVALE,3170
31421877,Restricted Club Licence,BALLARAT ITALIAN ASSOCIATION,BALLARAT ITALIAN ASSOCIATION INC,120 RECREATION ROAD,,MOUNT CLEAR,3350
36070590,Limited Licence,MELBOURNE INTERNATIONAL SHOOTING CLUB,MELBOURNE INTERNATIONAL SHOOTING CLUB INC,120 TODD ROAD,,FISHERMANS BEND,3207
36113356,Limited Licence,ARGYLES IN THE YARRA VALLEY,BRUCE ARGYLE,120 TOOLEBEWONG ROAD,,HEALESVILLE,3777
36111029,Limited Licence,TANNOCH BRAE RETIREMENT VILLAGE,TANNOCH BRAE RETIREMENT VILLAGE RESIDENT'S COMMITTEE INC,120 TOWNSEND ROAD,,ST ALBANS PARK,3219
31907378,Late night (general) Licence,IVANHOE HOTEL,AVZUR HOTELS PTY LTD,120 UPPER HEIDELBERG ROAD,,IVANHOE,3079
32259443,Restaurant & Café,THANH HA VIETNAMESE CUISINE 2,KHANH HOANG NGUYEN,120 VICTORIA STREET,,RICHMOND,3121
31423845,Restricted Club Licence,LANG LANG & DISTRICT SPORTS CLUB,LANG LANG & DISTRICT SPORTS CLUB INC,120 WESTERNPORT ROAD,,LANG LANG,3984
36052453,Limited Licence,HESKET HOUSE RETREAT,SEAN CADZOW,1201 ROMSEY ROAD,,ROMSEY,3434
32256136,Restaurant & Café,FOCACCIA BAR,CATCHPENNY PTY LTD,120-122 GREVILLE STREET,,PRAHRAN,3181
32227747,Restaurant & Café,EMPRESS OF CHINA,LI QUN LI,120-122 LITTLE BOURKE STREET,,MELBOURNE,3000
32281123,Late night (on-premises) Licence,WATERFRONT VENUES,WATERFRONT VENUES PTY LTD,120-122/427 DOCKLANDS DRIVE,WATERFRONT CITY,DOCKLANDS,3008
32238120,On-Premises Licence,MARKS RESTAURANT AT AIREYS,MARK ANTHONY PURDIE,120-128 MOUNTJOY PARADE,,LORNE,3232
32205868,Restaurant & Café,THE NEW CAPERS,CAPERS AUSTRALIA PTY LTD,120-130 BURWOOD ROAD,CNR POWER STREET,HAWTHORN,3122
32150110,Full Club Licence,CLUB WARRANDYTE,WARRANDYTE FOOTBALL CLUB INC,120-136 YARRA STREET,,WARRANDYTE,3113
32258227,Restaurant & Café,ECLIPTIC GALLERY CAFE,FREDRICK JAMES ANTHONY LACK,1203 HIGH STREET,,ARMADALE,3143
36103555,Limited Licence,STRATH VALLEY VIEW B & B,MELISSA DONEGAN,1204 KING PARROT CREEK ROAD,,STRATH CREEK,3658
36077194,Limited Licence,COUNTRYWIDE COTTAGES,DIANE SHIRLEY SCHULZE,1205 DEANS MARSH ROAD,,BAMBRA,3241
31912616,Late night (general) Licence,THE ROYAL HOTEL FERNTREE GULLY,TAVERNER HOTEL GROUP PTY LTD,1208 BURWOOD HIGHWAY,,FERNTREE GULLY,3156
32223214,Restaurant & Café,LA PETANQUE,NABU PTY LTD,1208 MORNINGTON FLINDERS ROAD,,RED HILL,3937
32100490,Full Club Licence (prev. Club Licence),KEW GOLF CLUB,KEW GOLF CLUB,120B BELFORD ROAD,,KEW EAST,3102
36069272,Limited Licence,THE KEW GOLF CLUB,THE KEW GOLF CLUB INC,120B BELFORD ROAD,,KEW EAST,3102
31261073,BYO Permit,MEI SIN RESTAURANT,JOHN OI FOON LEE,121 ALLAN STREET,,KYABRAM,3620
36077089,Limited Licence,CAFE SHAMROCK,EXPERIENCE CATERING PTY LTD,121 B & C,MAIN STREET,RUTHERGLEN,3685
32262496,Restaurant & Café,CAFE SHAMROCK,EXPERIENCE CATERING PTY LTD,121 B & C,MAIN STREET,RUTHERGLEN,3685
36103610,Limited Licence,WINEFELLOWS,WINEFELLOWS PTY LTD,121 BURNLEY STREET,,RICHMOND,3121
36064125,Limited Licence,ALBERT PARK HEALTH FOODS,JULIA LAWSON,121 DUNDAS PLACE,,ALBERT PARK,3206
32054186,Packaged Liquor,FOODWORKS ELIZABETH STREET,V7 PTY LTD,121 ELIZABETH STREET,,MELBOURNE,3000
31921657,Late night (general) Licence,,NEW LINE INVESTMENTS (VIC) PTY LTD,121 FLINDERS LANE,,MELBOURNE,3000
36097966,Limited Licence,BRIGHT BREWERY,BRIGHT BREWERY PTY LTD,121 GAVAN STREET,,BRIGHT,3741
31906607,General Licence,GRAPES HOTEL,BURNS HEAVY HAULAGE PTY LTD,121 GRANT STREET,,BALLARAT,3350
32265151,On-Premises Licence,CHEZ OLIVIER,"S,O AND ELSE PTY LTD",121 GREVILLE STREET,,PRAHRAN,3181
32269074,On-Premises Licence,BEANS & BAGELS,STEPHEN MCGINNESS,121 JOHNSTON STREET,,FITZROY,3065
31921259,General Licence,CHIANGMAI THAI CUISINE,CHIANG-MAI MELBOURNE PTY LTD,121 LYGON STREET,,CARLTON,3053
32060860,Packaged Liquor,DARRIWILL FARM CANTERBURY,CANNY PTY LTD,121 MALING ROAD,,CANTERBURY,3126
31821085,Late night (on-premises) Licence,ZU BAR,CAMERON MATTHEWS,121 MAROONDAH HIGHWAY,,RINGWOOD,3134
32223523,Restaurant & Café,GIPPSLAND FOOD & WINE,ALAN GEORGE LARSEN,121 PRINCES HIGHWAY,,YARRAGON,3820
32022969,Packaged Liquor,GIPPSLAND FOOD AND WINE,ALAN GEORGE LARSEN,121 PRINCES HIGHWAY,,YARRAGON,3823
32223125,Restaurant & Café,BIRCHES,CHISHOLM INSTITUTE OF TAFE COUNCIL,121 STUD ROAD,,DANDENONG,3175
32246783,On-Premises Licence,THE BOULEVARD RESTAURANT & FUNCTIONS,FAKTOM SERVICES PTY LTD,121 STUDLEY PARK ROAD,,KEW,3101
31911961,Late night (general) Licence,RIFLE CLUB HOTEL,AUSTRALIAN LEISURE AND HOSPITALITY GROUP LIMITED,121 VICTORIA STREET,,WILLIAMSTOWN,3016
32201610,Restaurant & Café,CAFE PAZZO,CAFE PAZZO PTY LTD,121 WILLIAM STREET,,MELBOURNE,3000
36083852,Limited Licence,TURBID AND BRETTY,TURBID & BRETTY PTY LTD,121 YARRAGON SOUTH ROAD,,YARRAGON,3823
32003216,Packaged Liquor,BELLEVUE CELLARS,BERONZOA PTY LTD,121-123 BULLEEN ROAD,,BALWYN NORTH,3104
32245606,Restaurant & Café,LA PORCHETTA FAMILY RESTAURANT,TRENT HALL PTY LTD,121-123 MENTONE PARADE,,MENTONE,3194
32262519,Restaurant & Café,LA COCHON ROSE,MICHAEL BRIERLY,121-123 NAPIER STREET,,ST ARNAUD,3478
31427019,Restricted Club Licence,SUNRAYSIA FOOTBALL UMPIRES ASSOCIATION,SUNRAYSIA FOOTBALL UMPIRES ASSOC.INC.,121-191 ELEVENTH STREET,,MILDURA,3500
32005276,Packaged Liquor,CLARINDA CELLARS,EVERGREEN INVESTMENTS (AUSTRALIA) PTY LTD,1212-1214 CENTRE ROAD,,CLAYTON SOUTH,3169
32006971,Packaged Liquor,H & R SUPERMARKET,SALWA BESHARA,12-14 BEAUFORD AVENUE,,BELL POST HILL,3220
33120532,General Licence,HORSHAM MID CITY COURT,CHYSAUSTER NOMINEES PTY LTD,12-14 DARLOT STREET,,HORSHAM,3400
36051025,Limited Licence,THE FARMERS ARMS RETREAT,ISABELLA LEORKE PTY LTD,12-14 DUNSFORD STREET,,LANCEFIELD,3435
31820089,Late night (on-premises) Licence,CBD ON MCKILLOP,F.B. PTY LTD,12-14 MCKILLOP STREET,,MELBOURNE,3000
32277687,Restaurant & Café,SODA BUBBLES,SODA BUBBLES PTY LTD,12-14 NAPIER STREET,,ESSENDON,3040
32261173,Restaurant & Café,JAVA KITCHEN,ENA IRAWATI,12-14 PEARL STREET,,TORQUAY,3228
32290148,On-Premises Licence,KYNETON'S GALLERY ON PIPER,KENNETH EDWARDS,12-14 PIPER STREET,,KYNETON,3444
32294883,On-Premises Licence,COOKES FOOD,COOKES FOOD PTY LTD,12-14/1 GRANGE ROAD,,TOORAK,3142
32100181,Full Club Licence (prev. Club Licence),MELBOURNE SAVAGE CLUB,MELBOURNE SAVAGE CLUB,12-16 BANK PLACE,,MELBOURNE,3000
32281458,On-Premises Licence,C. C. COLOURS,MILBER PTY LTD,1216 HIGH STREET,,ARMADALE,3143
32002642,Packaged Liquor,YEA FOODWORKS,FLINDERS BANNER PTY LTD,12-16 HIGH STREET,,YEA,3717
31901089,Late night (general) Licence,BLUE BELL HOTEL,AUSTRALIAN LEISURE AND HOSPITALITY GROUP LIMITED,1216 HOWITT STREET,,WENDOUREE,3355
32104389,Full Club Licence (prev. Club Licence),SOUTH OAKLEIGH BOWLING CLUB,SOUTH OAKLEIGH BOWLING CLUB,1216-1226 NORTH ROAD,,OAKLEIGH SOUTH,3167
32273861,Restaurant & Café,CAFE CLAREMONT,CAROLYN MARKHAM,12-18 CLAREMONT AVENUE,,MALVERN,3144
32023143,Packaged Liquor,SAFEWAY LIQUOR KERANG,WOOLWORTHS LIMITED,12-18 NOLAN STREET,,KERANG,3579
32294655,Restaurant & Café,ST ALI IBN UMAR AL-SHADILI,ST ALI PTY LTD,12-18 YARRA PLACE,,SOUTH MELBOURNE,3205
32020878,Packaged Liquor,NICKS WINE MERCHANTS,NICKS WINE MERCHANTS (DON) P/L,1219 HIGH STREET,,ARMADALE,3143
36020317,Limited Licence,RENATOS FLORIST,SAM LOUIS RENATO,121A WYNDHAM STREET,,SHEPPARTON,3630
31253208,BYO Permit,DRAGON PALACE,KUET YIN HO,121B PERCY STREET,,PORTLAND,3305
32051497,Packaged Liquor,GEORGE ALEXOPOULOS BOTTLESHOP,TIMOTHEOS ALEXOPOULOS,121B SAN MATEO AVENUE,,MILDURA,3500
36106943,Limited Licence,RE & JC MARSHALL,ROBERT MARSHALL,122 ADELAIDE HILLS ROAD,,MOYSTON,3377
31209843,BYO Permit,TAI WAH RESTAURANT,GRENADIER PEAK PTY LTD,122 BALCOMBE ROAD,,MENTONE,3194
36071627,Limited Licence,SERBIAN ORTHODOX CHURCH OF GEELONG,SERBIAN ORTHODOX CHURCH OF GEELONG,122 BALLARAT ROAD,,GEELONG NORTH,3215
32061434,Packaged Liquor,1ST CHOICE LIQUOR SUPERSTORE,LIQUORLAND (AUSTRALIA) PTY LTD,122 BAY STREET,,PORT MELBOURNE,3207
32282658,Restaurant & Café,DA RICADO'S,RICHARD WILLIAM MATHIASZ,122 BAYSWATER ROAD,,CROYDON SOUTH,3136
31225530,BYO Permit,JIMMY LEE DIAMOND RESTAURANT,JIMMY LEE,122 BURGUNDY ST,,HEIDELBERG,3084
32274809,On-Premises Licence,YELLOW BIRD CAFE,BOWDEN HYNDMAN ELLAM ENTERPRISES PTY LTD,122 CHAPEL STREET,,WINDSOR,3181
32103595,Full Club Licence,ROYAL AUTOMOBILE CLUB OF VICTORIA,ROYAL AUTOMOBILE CLUB OF VICTORIA,122 HEALESVILLE-KINGLAKE ROAD,,HEALESVILLE,3777
32122662,Full Club Licence,MAFFRA COMMUNITY SPORTS CLUB,MAFFRA COMMUNITY SPORTS CLUB INC,122 JOHNSON STREET,,MAFFRA,3860
32280185,On-Premises Licence,THE COMMONER,FIRETRUCK RED PTY LTD,122 JOHNSTON STREET,,FITZROY,3065
32265850,Restaurant & Café,MYCUBE,MYCUBE ENTERPRISE PTY LTD,122 LYGON STREET,,CARLTON,3053
32022024,Packaged Liquor,THOMASTOWN IGA SUPERMARKET,STRATHFIELD VILLAGE SUPERMARKET PTY LTD,122 MAIN STREET,,THOMASTOWN,3074
32224341,On-Premises Licence,PIZZA NAPOLI,URSINI INDUSTRIES PTY LTD,122 RUSSELL STREET,,MELBOURNE,3000
33120914,General Licence,VIBE SAVOY HOTEL MELBOURNE,VIBE HOTEL SERVICES PTY LTD,122 SPENCER STREET,,MELBOURNE,3000
31276125,BYO Permit,PAZZA PIZZA,ELYAS FARYABI,122 UNION ROAD,,ASCOT VALE,3032
32272881,On-Premises Licence,COFFEEMANIA,JUDY ANNE CONDON,1220 GLENHUNTLY ROAD,,GLENHUNTLY,3163
32253170,Restaurant & Café,THE TANG DYNASTY,WEI LAI HOLDINGS PTY LTD,1220 NEPEAN HIGHWAY,,CHELTENHAM,3192
32225046,Restaurant & Café,SOZAI RESTAURANT,SEAFOOD WEST PTY LTD,1221 HIGH STREET,,ARMADALE,3143
31915965,General Licence,WESTERN HOTEL,WESTERN HOTEL (VIC) PTY LTD,1221 STURT STREET,,BALLARAT,3350
32237946,Restaurant & Café,MARIA'S TRATTORIA RESTAURANT,MARIA STICCA,122-124 PEEL STREET,,NORTH MELBOURNE,3051
32023745,Packaged Liquor,BENALLA FOODWORKS,MENINO MASCARENHAS,122-124 WALLER STREET,,BENALLA,3672
32244383,Restaurant & Café,WILD ORGANIC CAFE,ABBIE PTY LTD,122-126 ORMOND ROAD,,ELWOOD,3184
32104486,Full Club Licence,KEILOR EAST RSL SUB-BRANCH,KEILOR EAST RSL SUB-BRANCH INC,12-22 HOFFMANS ROAD,,ESSENDON,3040
31275072,BYO Permit,FOOD INN,FOOD INN PTY LTD,1224 GLENHUNTLY ROAD,,CARNEGIE,3163
31451589,Restricted Club Licence,WERRIBEE/VICTORIAN CLAY TARGET CLUB,WERRIBEE/VICTORIAN CLAY TARGET CLUB INC.,1225 BALLAN ROAD,,WERRIBEE,3030
36114938,Limited Licence,STRAWRIDGE ESTATE,STRAWRIDGE ESTATE PTY LTD,1225 MALMSBURY ROAD,,GLENLYON,3461
31223318,BYO Permit,SAIGON VIETNAMESE RESTAURANT,VINH VAN TRAN,1226 TOORAK ROAD,,HARTWELL,3125
36099578,Limited Licence,SPROUT HEALTH STORE & ORGANIC GROCER,EARTH SYNERGY PTY LTD,123 AUBURN ROAD,,HAWTHORN,3122
36109501,Limited Licence,WEBLIQ,WEBLIQ PTY LTD,123 BAMFIELD ROAD,,HEIDELBERG WEST,3081
32275928,Restaurant & Café,VICTORIAN CAFE BAR,PETINE NOMINEES PTY LTD,123 BEACONSFIELD PARADE,,ALBERT PARK,3206
31900651,Late night (general) Licence,BALACLAVA HOTEL,BALACLAVA HOTEL (BMG) PTY LTD,123 CARLISLE STREET,,BALACLAVA,3183
31917315,Late night (general) Licence,GRAND HYATT MELBOURNE,G H OPERATIONS PTY LTD,123 COLLINS STREET,,MELBOURNE,3000
36083187,Limited Licence,GROVEDALE OLIVES,S L FRAZER PTY LTD,123 GARDEN HILL COURT,,KANGAROO GROUND,3097
36100882,Limited Licence,ROKEWOOD JUNCTION WINERY,GRAHAM JOHN JACOBSSON,123 GEORGES ROAD,,CAMBRIAN HILL,3352
32269595,Restaurant & Café,MCSPANKYS,REBELO PTY LTD,123 HARDWARE STREET,,MELBOURNE,3000
36102313,Limited Licence,PYRENEES HILLS WINEWORLD,TARZULA PTY LTD,123 HIGH STREET,,AVOCA,3467
32284854,On-Premises Licence,PYRENEES HILLS WINEWORLD,TARZULA PTY LTD,123 HIGH STREET,,AVOCA,3467
32262886,On-Premises Licence,CAFE 123,AUSTAR HOLDINGS (AUSTRALIA) PTY LTD,123 LONSDALE STREET,,MELBOURNE,3000
32256869,On-Premises Licence,MERCADANTE WOODFIRED PIZZA,KARLOS FARAH,123 LYGON STREET,,CARLTON,3053
32261856,On-Premises Licence,ALBANY MOTOR INN,DIAMOND WATER NOMINEE PTY LTD,1-23 MILLSWYN STREET,,SOUTH YARRA,3141
36058289,Limited Licence,CLUB 8 WINES,SOON MING TAN,123 MOORE STREET,,COBURG,3058
36086583,Limited Licence,KANCOONA VALLEY WINES,JOSEPH MARK BIRTI,123 MORGANS CREEK ROAD,,KANCOONA SOUTH,3691
32290512,On-Premises Licence,"LAVARONE, KANCOONA VALLEY VINEYARD AND WINES",JOSEPH MARK BIRTI,123 MORGANS CREEK ROAD,,KANCOONA SOUTH,3691
36109682,Limited Licence,THE GOLDEN TRIANGLE RESTAURANT,G K GROUP PTY LTD,123 PARK STREET,,SOUTH YARRA,3141
32200339,Restaurant & Café,THE GOLDEN TRIANGLE RESTAURANT,G K GROUP PTY LTD,123 PARK STREET,,SOUTH YARRA,3141
33751066,Pre-retail Licence,CELLARHAND CONSULTING,CELLARHAND CONSULTING PTY LTD,123 PROPECT HILL ROAD,,CANTERBURY,3126
32289888,On-Premises Licence,DEXTER BAR CAFE,AH LEU CHA PTY LTD,123 QUEENS PARADE,,CLIFTON HILL,3068
31820233,On-Premises Licence,VIBE ON SMITH,TONY BARBERA PTY LTD,123 SMITH STREET,,FITZROY,3065
31276874,BYO Permit,SLINKONLINE,SLINKONLINE PTY LTD,1230 TOORAK ROAD,,CAMBERWELL,3124
31268928,BYO Permit,GOLDEN UP CHINESE RESTAURANT,DAT THANH CO PTY LTD,1231 HOWITT STREET,,WENDOUREE,3355
32236364,Restaurant & Café,OTIS,ANDREA LE PLASTRIER,123-125 BRIDPORT STREET,,ALBERT PARK,3206
32221995,Restaurant & Café,EASTERN COURT RESTAURANT,ANDREW AN,123-125 JAMES STREET,,TEMPLESTOWE,3106
32245868,Late night (on-premises) Licence,ATTIC NITE CLUB,LIMNUS PTY LTD,123-125 THOMPSON STREET,,HAMILTON,3300
31821718,Late night (on-premises) Licence,CLUB DAKOTA,MERRATON PTY LTD,123-127 MAROONDAH HIGHWAY,,RINGWOOD,3134
36072982,Limited Licence,UPPER GULLY ORGANICS,MICHEL STEFAN KIR,1232 BURWOOD HIGHWAY,,UPPER FERNTREE GULLY,3156
32054851,Packaged Liquor,NQR GROCERY CLEARANCE STORES,NQR PTY LTD,1233 HOWITT STREET,,WENDOUREE,3355
33120833,General Licence,QUALITY INN BATON ROUGE,REIDY PTY LTD,1233 STUD ROAD,,ROWVILLE,3178
32024270,Packaged Liquor,SAFEWAY,WOOLWORTHS LIMITED,1239 NEPEAN HIGHWAY,,CHELTENHAM,3192
32279972,On-Premises Licence,ORANGEWINDSOR,ORANGECHAPEL PTY LTD,124 CHAPEL STREET,,PRAHRAN,3181
36065951,Limited Licence,THE BEND WINE BAR,THE BEND WINE BAR PTY LTD,124 DOUGLAS PARADE,,WILLIAMSTOWN,3016
32255130,Restaurant & Café,THE BEND WINE BAR,THE BEND WINE BAR PTY LTD,124 DOUGLAS PARADE,,WILLIAMSTOWN,3016
32233992,On-Premises Licence,THAI-CITY,WASANA VIPAMANEERODE,124 LYGON STREET,,CARLTON,3053
31908942,General Licence,PEPPERS SPRINGS RETREAT,SPA COUNTRY GETAWAYS PTY LTD,124 MAIN ROAD,,HEPBURN,3461
32277190,On-Premises Licence,LOOT COTTAGE GARDEN CAFE,YARRASON PTY LTD,124 MAIN STREET,,BACCHUS MARSH,3340
31902954,General Licence,COMMERCIAL HOTEL,BENELY PTY LTD,124 MAIN STREET,,BAIRNSDALE,3875
36096148,Limited Licence,MOUNTAIN DISTRICT PISTOL CLUB,MOUNTAIN DISTRICT PISTOL CLUB INC,124 PINNACLE LANE,,DIXONS CREEK,3775
36091994,Limited Licence,GRAPHIC WORKS,TARGO TRANSPORT PTY LTD,124 STOCKDALE WAY,,MILL PARK,3082
32293544,Restaurant & Café,AFRICAN TEST,BINYAM KIFLE TESFATION,124 VICTORIA STREET,,SEDDON,3011
32054437,Packaged Liquor,BALLARAT PRE MIX KING,SNOWDUCK PTY LTD,1241 HOWITT STREET,,WENDOUREE,3355
31107928,BYO Permit,RMIT STAFF CLUB,D G HAMILTON,124-126 LATROBE STREET,,MELBOURNE,3000
32237035,Restaurant & Café,GOLDEN ORCHIDS RESTAURANT,GOLDORC INVESTMENTS PTY LTD,124-126 LITTLE BOURKE STREET,,MELBOURNE,3000
32277954,On-Premises Licence,SAHARA NIGHTS,SAHARA COFFEE LOUNGE PTY LTD,124-126 LYGON STREET,,EAST BRUNSWICK,3057
33120744,General Licence,COMFORT INN DANDENONG,BH AND GI PTY LTD,124-126 PRINCES HIGHWAY,,DANDENONG,3175
32420751,Vigneron's Licence,STUMPY GULLY VINEYARD,FRANK ZANTVOORT,1247 STUMP GULLY ROAD,,MOOROODUC,3933
32259689,On-Premises Licence,AMF BORONIA,BOWLING CENTRES AUSTRALIA PTY LTD,125 BORONIA ROAD,,BORONIA,3155
36102800,Limited Licence,,BREAKTHROUGH INVESTMENTS AUSTRALIA PTY LTD,125 CARINISH ROAD,,CLAYTON,3168
32235203,Restaurant & Café,,BREAKTHROUGH INVESTMENTS AUSTRALIA PTY LTD,125 CARINISH ROAD,,CLAYTON,3168
32289537,Late night (on-premises) Licence,DESTINO LATIN BAR,FRANTAS & SITAR ENTERTAINMENT PTY LTD,125 CHAPEL STREET,,WINDSOR,3141
32295601,On-Premises Licence,TAMBOZ,ALTAM PTY LTD,125 EUREKA STREET,,BALLARAT,3350
31920952,Late night (general) Licence,MELBOURNE WINE ROOM,THE GEORGE MELBOURNE WINEROOM PTY LTD,125 FITZROY STREET,,ST KILDA,3182
31409590,Restricted Club Licence,FAIRFIELD BOWLING CLUB,FAIRFIELD BOWLING CLUB INC.,125 GILLIES STREET,,FAIRFIELD,3078
36055613,Limited Licence,CASABLANCA PIZZA RESTAURANT,CASABLANCA PIZZA RESTAURANT PTY LTD,125 HIGH STREET,,SHEPPARTON,3630
32229325,Restaurant & Café,CASABLANCA PIZZA RESTAURANT,CASABLANCA PIZZA RESTAURANT PTY LTD,125 HIGH STREET,,SHEPPARTON,3630
31901005,Late night (general) Licence,BENDIGO HOTEL,KELMOON PTY LTD,125 JOHNSTON STREET,,COLLINGWOOD,3066
32451053,Vigneron's Licence,MT CATHEDRAL VINEYARD,OSCAR ROSA,125 KNAFL ROAD,,TAGGERTY,3714
32261343,Restaurant & Café,KIM CHI GRANDMA RESTAURANT,NEW KIM CHI PTY LTD,125 KOORNANG ROAD,,CARNEGIE,3163
32452114,Vigneron's Licence,BROWN MAGPIE WINES,SHANE BREHENY,125 LARCOMBES ROAD,,MODEWARRE,3240
32271746,On-Premises Licence,SPOONS DELI & CATERING,CJ & SL JEWSON PTY LTD,125 MONASH DRIVE,,SWAN HILL,3585
32227755,Restaurant & Café,REMVI BY THE BAY,GPC PARTNERS PTY LTD,125 NELSON PLACE,,WILLIAMSTOWN,3016
32246246,Restaurant & Café,SINGHA THAI RESTAURANT,YUTHANA ANUSORNCHONSAREE,125 PUCKLE STREET,,MOONEE PONDS,3039
31820097,On-Premises Licence,GRUMPY'S GREEN,DRINK CLUB PTY LTD,125 SMITH STREET,,FITZROY,3065
32003876,Packaged Liquor,BRAYBROOK FAMILY SUPERMARKET,KOKAB AND SONS PTY LTD,125 SOUTH ROAD,,BRAYBROOK,3019
31262037,BYO Permit,BEAU THAI RESTAURANT,YUNG MAN TSUI,125 STATION STREET,,MALVERN,3144
31921013,Late night (general) Licence,THE HI-FI,THE HI-FI MELBOURNE PTY LTD,125 SWANSTON STREET,,MELBOURNE,3000
36053530,Limited Licence,THAI EMPIRE RESTAURANT,JANJIRA NOWAPONGRAT,125 THOMPSONS ROAD,,BULLEEN,3105
32255897,Restaurant & Café,THAI EMPIRE RESTAURANT,JANJIRA NOWAPONGRAT,125 THOMPSONS ROAD,,BULLEEN,3105
